Label;#;Samples;Average;Median;90%;Line;95%;Line;99%;Line;Min;Max;Error;%;Throughput;Received;KB/sec;Sent;KB/sec
2;/;564;86;22;200;309;367;7;387;0.000%;6.02905;230.83;2.21;;;;;;
4;/User/Dashboard;559;368;277;868;1002;1149;13;1458;0.000%;5.96528;505.46;26.25;;;;;;
6;/Customer/ManageList;280;92;31;249;435;533;12;584;0.000%;2.99379;117.55;3.39;;;;;;
117;/Content/images/icon-menu-profile-blue.svg;279;14;4;14;159;168;1;176;0.000%;2.98367;29.43;1.1;;;;;;
118;/Content/images/spin.svg;279;13;3;17;57;173;0;370;0.000%;2.98386;2.31;1.06;;;;;;
124;/Content/images/menu-job-quote.svg;279;12;4;15;34;190;1;345;0.000%;2.98402;12.63;1.08;;;;;;
121;/Content/images/Icon-Download.svg;279;12;3;14;28;179;1;202;0.000%;2.98418;5.68;1.09;;;;;;
126;/GTSGIAG3;279;124;123;146;167;219;96;260;0.000%;2.98064;2.05;1.27;;;;;;
127;/Home/_CheckSessionStatus;279;82;66;176;268;359;3;431;0.000%;2.98626;0.89;1.55;;;;;;
129;/Customer/CreateJob;279;43;23;60;199;214;7;293;0.000%;2.98616;85.98;1.33;;;;;;
132;/Content/images/cont-quotes.svg;279;17;5;18;160;173;1;210;0.000%;2.98642;12.64;1.08;;;;;;
134;/api/StoreGroupWebAPI/GetEditSuperAdmin;279;41;14;97;198;366;4;401;0.000%;2.98638;1.05;1.39;;;;;;
135;/api/CreateJobWebAPI/GetJobDetails;279;38;17;52;183;370;6;698;0.000%;2.98718;1.05;3.69;;;;;;
133;/api/StateListWebAPI/GetStateList;279;28;12;52;173;244;4;371;0.000%;2.98738;1.05;1.57;;;;;;
128;/api/GetJobCountWebAPI/;558;100;47;296;415;711;3;913;0.000%;5.97264;357.5;11.23;;;;;;
136;/Content/images/icon-button-logout.svg;279;8;3;11;14;171;1;207;0.000%;2.98763;6.78;1.11;;;;;;
137;/User/Logout;279;45;20;89;225;380;9;530;0.000%;2.98744;116.03;2.53;;;;;;
138;/User/Logout;279;40;21;46;217;378;10;457;0.000%;2.9875;116.04;2.53;;;;;;
140;/;279;24;12;28;172;223;7;364;0.000%;2.98757;114.38;1.25;;;;;;
159;/Content/images/spin.svg;279;17;4;14;163;172;0;371;0.000%;2.98779;2.31;1.06;;;;;;
164;/Content/fonts/opensans-regular.woff2;558;46;8;182;222;367;2;788;100.000%;5.97546;8.53;2.53;;;;;;
166;/api/UserWebApi/PostUserDetails;558;361;269;637;694;1025;194;1103;0.000%;5.96307;2.03;4.68;;;;;;
167;/;556;68;43;72;91;353;17;3040;0.000%;5.95219;1.63;2.57;;;;;;
168;/;554;30;25;46;58;82;16;322;0.000%;5.96719;1.63;2.58;;;;;;
TOTAL;8651;89;21;247;435;847;0;3040;6.450%;92.01332;1726.36;79.68;;;;;;;
